time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-16 00:00:00+00:00,15,8,71,20
2021-04-17 00:00:00+00:00,13,7,44,11
2021-04-18 00:00:00+00:00,15,9,75,18
2021-04-19 00:00:00+00:00,13,7,137,25
2021-04-20 00:00:00+00:00,14,9,77,22
2021-04-21 00:00:00+00:00,13,7,94,22
2021-04-22 00:00:00+00:00,14,10,117,29
2021-04-23 00:00:00+00:00,13,8,188,38
2021-04-24 00:00:00+00:00,16,8,60,18
2021-04-25 00:00:00+00:00,12,6,127,23
2021-04-26 00:00:00+00:00,15,8,217,24
2021-04-27 00:00:00+00:00,12,7,48,17
2021-04-28 00:00:00+00:00,13,7,150,37
2021-04-29 00:00:00+00:00,16,9,112,24
