time_iso8601,clones_total,clones_unique,views_total,views_unique
2020-12-26 00:00:00+00:00,45,5,274,20
2020-12-27 00:00:00+00:00,11,3,223,17
2020-12-28 00:00:00+00:00,8,3,195,25
2020-12-29 00:00:00+00:00,7,3,143,22
2020-12-30 00:00:00+00:00,7,3,80,19
2020-12-31 00:00:00+00:00,7,3,29,14
2021-01-01 00:00:00+00:00,7,3,27,14
2021-01-02 00:00:00+00:00,9,5,79,17
2021-01-03 00:00:00+00:00,8,4,82,21
2021-01-04 00:00:00+00:00,7,3,61,20
2021-01-05 00:00:00+00:00,8,4,99,20
2021-01-06 00:00:00+00:00,11,7,178,32
2021-01-07 00:00:00+00:00,10,6,106,25
2021-01-08 00:00:00+00:00,14,8,137,33
2021-01-09 00:00:00+00:00,1,1,11,3
