url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,28,21
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,21,7
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,14,5
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,12,5
/jgehrcke/covid-19-germany-gae/blob/master/README.md,8,3
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,4,2
/jgehrcke/covid-19-germany-gae/tree/master/plots,3,1
/jgehrcke/covid-19-germany-gae/tree/master,2,2
/jgehrcke/covid-19-germany-gae/blob/master/examples/README.md,2,1
/jgehrcke/covid-19-germany-gae/blob/master/tools/build-rki-csvs.py,2,1
