url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,15,13
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,10,10
/jgehrcke/covid-19-germany-gae/tree/master/geodata,6,4
/jgehrcke/covid-19-germany-gae/tree/master/more-data,3,3
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,2,2
/jgehrcke/covid-19-germany-gae/blob/master/more-data/7di-rki-by-ags.csv,2,2
/jgehrcke/covid-19-germany-gae/pulls,2,2
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,1,1
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rl-crowdsource-by-ags.csv,1,1
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rl-crowdsource-by-state.csv,1,1
