url_path,views_total,views_unique
/jgehrcke/github-repo-stats,23,21
/jgehrcke/github-repo-stats/pulls,12,4
/jgehrcke/github-repo-stats/wiki/Tutorial,9,8
/jgehrcke/github-repo-stats/issues,9,3
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,3,3
/jgehrcke/github-repo-stats/issues/87,2,2
/jgehrcke/github-repo-stats/issues/83,2,1
/jgehrcke/github-repo-stats/actions,1,1
/jgehrcke/github-repo-stats/actions/workflows/copilot-pull-request-reviewer/copilot-pull-request-reviewer,1,1
/jgehrcke/github-repo-stats/commit/78798ef97a07468beda69b87157e9cebf70b752e,1,1
