url_path,views_total,views_unique
/jgehrcke/github-repo-stats,55,12
/jgehrcke/github-repo-stats/issues/8,9,2
/jgehrcke/github-repo-stats/issues,8,4
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,4,4
/jgehrcke/github-repo-stats/blob/main/Dockerfile,4,3
/jgehrcke/github-repo-stats/blob/main/action.yml,4,2
/jgehrcke/github-repo-stats/blob/main/entrypoint.sh,4,1
/jgehrcke/github-repo-stats/blob/main/.github/workflows/prs.yml,3,2
/jgehrcke/github-repo-stats/issues/9,3,2
/jgehrcke/github-repo-stats/issues/new,3,2
