url_path,views_total,views_unique
/jgehrcke/github-repo-stats,40,37
/jgehrcke/github-repo-stats/wiki/Tutorial,24,14
/jgehrcke/github-repo-stats/pulls,5,4
/jgehrcke/github-repo-stats/releases,3,3
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,2,2
/jgehrcke/github-repo-stats/blob/main/README.md,2,2
/jgehrcke/github-repo-stats/tree/main,2,2
/jgehrcke/github-repo-stats/tree/main/tests,2,2
/jgehrcke/github-repo-stats/blob/main/.github/workflows/github-repo-stats.yml,1,1
/jgehrcke/github-repo-stats/blob/main/.github/workflows/prs.yml,1,1
