time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-30 00:00:00+00:00,,,5,2
2024-07-01 00:00:00+00:00,,,65,10
2024-07-02 00:00:00+00:00,,,7,4
2024-07-03 00:00:00+00:00,,,11,6
2024-07-04 00:00:00+00:00,,,12,6
2024-07-05 00:00:00+00:00,,,6,3
2024-07-06 00:00:00+00:00,,,2,1
2024-07-07 00:00:00+00:00,1.0,1.0,12,3
2024-07-08 00:00:00+00:00,1.0,1.0,9,6
2024-07-09 00:00:00+00:00,,,2,2
2024-07-10 00:00:00+00:00,,,10,9
2024-07-11 00:00:00+00:00,1.0,1.0,39,9
2024-07-12 00:00:00+00:00,,,9,4
2024-07-13 00:00:00+00:00,,,17,3
