url_path,views_total,views_unique
/jgehrcke/github-repo-stats,133,64
/jgehrcke/github-repo-stats/wiki/Tutorial,35,18
/jgehrcke/github-repo-stats/issues,13,6
/jgehrcke/github-repo-stats/blob/main/analyze.py,5,3
/jgehrcke/github-repo-stats/issues/64,5,2
/jgehrcke/github-repo-stats/blob/main/fetch.py,4,3
/jgehrcke/github-repo-stats/blob/main/.github/workflows/prs.yml,4,3
/jgehrcke/github-repo-stats/blob/main/entrypoint.sh,4,2
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,3,3
/jgehrcke/github-repo-stats/actions,3,2
