time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-10 00:00:00+00:00,,,6,5
2023-08-11 00:00:00+00:00,4.0,3.0,56,13
2023-08-12 00:00:00+00:00,,,13,4
2023-08-13 00:00:00+00:00,,,3,2
2023-08-14 00:00:00+00:00,3.0,2.0,11,7
2023-08-15 00:00:00+00:00,,,12,5
2023-08-16 00:00:00+00:00,2.0,1.0,12,6
2023-08-17 00:00:00+00:00,,,12,7
2023-08-18 00:00:00+00:00,2.0,1.0,12,9
2023-08-19 00:00:00+00:00,,,3,2
2023-08-20 00:00:00+00:00,1.0,1.0,7,7
2023-08-21 00:00:00+00:00,3.0,2.0,11,4
2023-08-22 00:00:00+00:00,,,17,10
2023-08-23 00:00:00+00:00,2.0,1.0,2,2
