time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-14 00:00:00+00:00,1.0,1.0,59.0,24.0
2021-09-15 00:00:00+00:00,,,21.0,12.0
2021-09-16 00:00:00+00:00,,,47.0,7.0
2021-09-17 00:00:00+00:00,,,11.0,5.0
2021-09-18 00:00:00+00:00,,,1.0,1.0
2021-09-19 00:00:00+00:00,,,1.0,1.0
2021-09-20 00:00:00+00:00,,,2.0,2.0
2021-09-21 00:00:00+00:00,1.0,1.0,,
2021-09-22 00:00:00+00:00,,,7.0,4.0
2021-09-23 00:00:00+00:00,,,2.0,2.0
2021-09-24 00:00:00+00:00,,,2.0,2.0
2021-09-25 00:00:00+00:00,,,4.0,2.0
2021-09-26 00:00:00+00:00,,,4.0,2.0
2021-09-27 00:00:00+00:00,,,5.0,4.0
