url_path,views_total,views_unique
/jgehrcke/github-repo-stats,37,26
/jgehrcke/github-repo-stats/wiki/Tutorial,13,4
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,4,3
/jgehrcke/github-repo-stats/issues,4,3
/jgehrcke/github-repo-stats/pulls,3,2
/jgehrcke/github-repo-stats/blob/main/fetch.py,1,1
/jgehrcke/github-repo-stats/commit/479477ac48751ce9b05477fb7ef6c8ca69a9ee5c,1,1
/jgehrcke/github-repo-stats/commit/902b0c185acb756b3c2ab1570d00f5fe4ba800c5,1,1
/jgehrcke/github-repo-stats/commits,1,1
/jgehrcke/github-repo-stats/issues/88,1,1
