url_path,views_total,views_unique
/jgehrcke/github-repo-stats,274,103
/jgehrcke/github-repo-stats/issues,33,8
/jgehrcke/github-repo-stats/wiki/Tutorial,31,13
/jgehrcke/github-repo-stats/tree/main/.github/workflows,18,6
/jgehrcke/github-repo-stats/blob/main/.github/workflows/prs.yml,16,5
/jgehrcke/github-repo-stats/network/dependents,16,2
/jgehrcke/github-repo-stats/commits/main,10,1
/jgehrcke/github-repo-stats/releases,9,1
/jgehrcke/github-repo-stats/pulse,8,3
/jgehrcke/github-repo-stats/actions,8,2
