time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-10 00:00:00+00:00,,,19,9
2022-03-11 00:00:00+00:00,1.0,1.0,8,7
2022-03-12 00:00:00+00:00,,,7,7
2022-03-13 00:00:00+00:00,,,10,9
2022-03-14 00:00:00+00:00,,,4,4
2022-03-15 00:00:00+00:00,2.0,1.0,18,7
2022-03-16 00:00:00+00:00,2.0,1.0,16,13
2022-03-17 00:00:00+00:00,,,15,14
2022-03-18 00:00:00+00:00,,,27,12
2022-03-19 00:00:00+00:00,,,11,8
2022-03-20 00:00:00+00:00,1.0,1.0,1,1
2022-03-21 00:00:00+00:00,,,44,13
2022-03-22 00:00:00+00:00,,,74,18
2022-03-23 00:00:00+00:00,1.0,1.0,36,11
