url_path,views_total,views_unique
/jgehrcke/github-repo-stats,48,22
/jgehrcke/github-repo-stats/issues,8,3
/jgehrcke/github-repo-stats/issues/20,4,2
/jgehrcke/github-repo-stats/pulls,3,2
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,2,2
/jgehrcke/github-repo-stats/tree/main/resources,2,2
/jgehrcke/github-repo-stats/commit/51540ed9d74e7a165c08bfec635dc55853a65f05,2,1
/jgehrcke/github-repo-stats/issues/17,2,1
/jgehrcke/github-repo-stats/network,2,1
/jgehrcke/github-repo-stats/pull/21,2,1
