url_path,views_total,views_unique
/jgehrcke/github-repo-stats,95,60
/jgehrcke/github-repo-stats/wiki/Tutorial,31,16
/jgehrcke/github-repo-stats/blob/main/fetch.py,12,3
/jgehrcke/github-repo-stats/blob/main/.github/workflows/prs.yml,11,2
/jgehrcke/github-repo-stats/blob/main/analyze.py,9,2
/jgehrcke/github-repo-stats/tree/main/.github/workflows,9,2
/jgehrcke/github-repo-stats/blob/main/Dockerfile,8,1
/jgehrcke/github-repo-stats/blob/main/resources/github-markdown.css,8,1
/jgehrcke/github-repo-stats/tree/main/resources,6,2
/jgehrcke/github-repo-stats/blob/main/Makefile,6,1
